id,profile_id,milestone_id,status,observed,target,note
arena_attempt_volume,free_50_rewards,2h,PASS,6.4 attempts,> 0 attempts without combat cooldown,Progression Lab should model Arena PVE attempts per hour instead of PVP battles per hour.
arena_farm_pressure,free_50_rewards,2h,PASS,repeat factor 0.25,<= 0.5,Repeat rewards should be reduced/capped because Arena PVE has no combat cooldown.
arena_potion_consumption_pressure,free_50_rewards,2h,PASS,"0 projected uses, 1 stock, 100% coverage",>= 5% lab stock coverage when Pocao de Vida is equipped,Progression Lab should project Pocao de Vida pressure per Arena PVE attempt before tuning consumables.
arena_attempt_volume,free_50_rewards,5h,PASS,16 attempts,> 0 attempts without combat cooldown,Progression Lab should model Arena PVE attempts per hour instead of PVP battles per hour.
arena_farm_pressure,free_50_rewards,5h,PASS,repeat factor 0.25,<= 0.5,Repeat rewards should be reduced/capped because Arena PVE has no combat cooldown.
arena_potion_consumption_pressure,free_50_rewards,5h,PASS,"6.7 projected uses, 2 stock, 29.76% coverage",>= 5% lab stock coverage when Pocao de Vida is equipped,Progression Lab should project Pocao de Vida pressure per Arena PVE attempt before tuning consumables.
arena_attempt_volume,free_50_rewards,10h,PASS,32 attempts,> 0 attempts without combat cooldown,Progression Lab should model Arena PVE attempts per hour instead of PVP battles per hour.
arena_farm_pressure,free_50_rewards,10h,PASS,repeat factor 0.25,<= 0.5,Repeat rewards should be reduced/capped because Arena PVE has no combat cooldown.
arena_potion_consumption_pressure,free_50_rewards,10h,PASS,"13.4 projected uses, 3 stock, 22.32% coverage",>= 5% lab stock coverage when Pocao de Vida is equipped,Progression Lab should project Pocao de Vida pressure per Arena PVE attempt before tuning consumables.
arena_attempt_volume,free_50_rewards,15h,PASS,48 attempts,> 0 attempts without combat cooldown,Progression Lab should model Arena PVE attempts per hour instead of PVP battles per hour.
arena_farm_pressure,free_50_rewards,15h,PASS,repeat factor 0.25,<= 0.5,Repeat rewards should be reduced/capped because Arena PVE has no combat cooldown.
arena_potion_consumption_pressure,free_50_rewards,15h,PASS,"20.2 projected uses, 4 stock, 19.84% coverage",>= 5% lab stock coverage when Pocao de Vida is equipped,Progression Lab should project Pocao de Vida pressure per Arena PVE attempt before tuning consumables.
arena_attempt_volume,free_50_rewards,20h,PASS,64 attempts,> 0 attempts without combat cooldown,Progression Lab should model Arena PVE attempts per hour instead of PVP battles per hour.
arena_farm_pressure,free_50_rewards,20h,PASS,repeat factor 0.25,<= 0.5,Repeat rewards should be reduced/capped because Arena PVE has no combat cooldown.
arena_potion_consumption_pressure,free_50_rewards,20h,PASS,"26.9 projected uses, 5 stock, 18.6% coverage",>= 5% lab stock coverage when Pocao de Vida is equipped,Progression Lab should project Pocao de Vida pressure per Arena PVE attempt before tuning consumables.
arena_attempt_volume,free_100_rewards,2h,PASS,8 attempts,> 0 attempts without combat cooldown,Progression Lab should model Arena PVE attempts per hour instead of PVP battles per hour.
arena_farm_pressure,free_100_rewards,2h,PASS,repeat factor 0.35,<= 0.5,Repeat rewards should be reduced/capped because Arena PVE has no combat cooldown.
arena_potion_consumption_pressure,free_100_rewards,2h,PASS,"0 projected uses, 1 stock, 100% coverage",>= 5% lab stock coverage when Pocao de Vida is equipped,Progression Lab should project Pocao de Vida pressure per Arena PVE attempt before tuning consumables.
arena_attempt_volume,free_100_rewards,5h,PASS,20 attempts,> 0 attempts without combat cooldown,Progression Lab should model Arena PVE attempts per hour instead of PVP battles per hour.
