id,profile_id,milestone_id,status,observed,target,note
level_window,free_50_rewards,2h,PASS,8,4-9,Level should stay inside the intended first-hours window.
resource_debt,free_50_rewards,2h,PASS,0,>= -1,Healthy save should not require large hidden resource debt.
level_window,free_50_rewards,5h,PASS,11,7-14,Level should stay inside the intended first-hours window.
resource_debt,free_50_rewards,5h,PASS,0,>= -1,Healthy save should not require large hidden resource debt.
level_window,free_50_rewards,10h,PASS,14,11-22,Level should stay inside the intended first-hours window.
resource_debt,free_50_rewards,10h,PASS,0,>= -1,Healthy save should not require large hidden resource debt.
level_window,free_50_rewards,15h,PASS,16,15-30,Level should stay inside the intended first-hours window.
resource_debt,free_50_rewards,15h,PASS,0,>= -1,Healthy save should not require large hidden resource debt.
level_window,free_50_rewards,20h,PASS,22,18-36,Level should stay inside the intended first-hours window.
resource_debt,free_50_rewards,20h,PASS,0,>= -1,Healthy save should not require large hidden resource debt.
level_window,free_100_rewards,2h,REVIEW,10,4-9,Level should stay inside the intended first-hours window.
resource_debt,free_100_rewards,2h,PASS,0,>= -1,Healthy save should not require large hidden resource debt.
level_window,free_100_rewards,5h,PASS,13,7-14,Level should stay inside the intended first-hours window.
resource_debt,free_100_rewards,5h,PASS,0,>= -1,Healthy save should not require large hidden resource debt.
level_window,free_100_rewards,10h,PASS,17,11-22,Level should stay inside the intended first-hours window.
resource_debt,free_100_rewards,10h,PASS,0,>= -1,Healthy save should not require large hidden resource debt.
level_window,free_100_rewards,15h,PASS,20,15-30,Level should stay inside the intended first-hours window.
resource_debt,free_100_rewards,15h,PASS,0,>= -1,Healthy save should not require large hidden resource debt.
level_window,free_100_rewards,20h,PASS,26,18-36,Level should stay inside the intended first-hours window.
resource_debt,free_100_rewards,20h,PASS,0,>= -1,Healthy save should not require large hidden resource debt.
level_window,freemium_basic,2h,REVIEW,10,4-9,Level should stay inside the intended first-hours window.
resource_debt,freemium_basic,2h,PASS,0,>= -1,Healthy save should not require large hidden resource debt.
level_window,freemium_basic,5h,PASS,13,7-14,Level should stay inside the intended first-hours window.
resource_debt,freemium_basic,5h,PASS,0,>= -1,Healthy save should not require large hidden resource debt.
level_window,freemium_basic,10h,PASS,17,11-22,Level should stay inside the intended first-hours window.
resource_debt,freemium_basic,10h,PASS,0,>= -1,Healthy save should not require large hidden resource debt.
level_window,freemium_basic,15h,PASS,19,15-30,Level should stay inside the intended first-hours window.
resource_debt,freemium_basic,15h,PASS,0,>= -1,Healthy save should not require large hidden resource debt.
level_window,freemium_basic,20h,PASS,25,18-36,Level should stay inside the intended first-hours window.
resource_debt,freemium_basic,20h,PASS,0,>= -1,Healthy save should not require large hidden resource debt.
level_window,spender_light,2h,REVIEW,10,4-9,Level should stay inside the intended first-hours window.
resource_debt,spender_light,2h,PASS,0,>= -1,Healthy save should not require large hidden resource debt.
level_window,spender_light,5h,PASS,14,7-14,Level should stay inside the intended first-hours window.
resource_debt,spender_light,5h,PASS,0,>= -1,Healthy save should not require large hidden resource debt.
level_window,spender_light,10h,PASS,18,11-22,Level should stay inside the intended first-hours window.
resource_debt,spender_light,10h,PASS,0,>= -1,Healthy save should not require large hidden resource debt.
level_window,spender_light,15h,PASS,20,15-30,Level should stay inside the intended first-hours window.
resource_debt,spender_light,15h,PASS,0,>= -1,Healthy save should not require large hidden resource debt.
level_window,spender_light,20h,PASS,27,18-36,Level should stay inside the intended first-hours window.
resource_debt,spender_light,20h,PASS,0,>= -1,Healthy save should not require large hidden resource debt.
level_window,max_spender,2h,REVIEW,11,4-9,Level should stay inside the intended first-hours window.
resource_debt,max_spender,2h,PASS,0,>= -1,Healthy save should not require large hidden resource debt.
level_window,max_spender,5h,PASS,14,7-14,Level should stay inside the intended first-hours window.
resource_debt,max_spender,5h,PASS,0,>= -1,Healthy save should not require large hidden resource debt.
level_window,max_spender,10h,PASS,18,11-22,Level should stay inside the intended first-hours window.
resource_debt,max_spender,10h,PASS,0,>= -1,Healthy save should not require large hidden resource debt.
level_window,max_spender,15h,PASS,21,15-30,Level should stay inside the intended first-hours window.
resource_debt,max_spender,15h,PASS,0,>= -1,Healthy save should not require large hidden resource debt.
level_window,max_spender,20h,PASS,27,18-36,Level should stay inside the intended first-hours window.
resource_debt,max_spender,20h,PASS,0,>= -1,Healthy save should not require large hidden resource debt.
