id,status,observed,target,note
average_duration_target,PASS,25.42s,18-28s,Average battle duration should sit near the target playtest window.
short_battle_rate,PASS,0%,<= 20%,Too many short battles suggest burst or low HP scaling issues.
long_battle_rate,REVIEW,20.25%,<= 20%,Too many long battles suggest defensive scaling or low damage pressure.
anti_stall_rate,REVIEW,8.18%,<= 5%,Anti-stall should be rare in normal same-level matchups.
near_power_dominance,PASS,61.97% max / 26.85% min,max <= 65%,Dominance uses <= 20% power delta and excludes same-archetype mirrors.
level_coverage,PASS,"7/7 configured, 19 total",7/7,Every configured level checkpoint should produce matchups.
track16_potion_build_coverage,PASS,1208 potion-enabled matchups,>= 1 when Track 16 potion scenarios exist,Battle Lab must exercise Pocao de Vida slots before autobattler tuning.
track16_potion_event_coverage,PASS,897 matchups with consumable_use,>= 1 consumable_use event when potion is enabled,Potion scenarios should produce at least one battle_log_v1 consumable_use/heal sample.
track16_spell_behavior_coverage,PASS,"1066 behavior matchups, 580 disabled-behavior matchups",>= 1 spell behavior matchup and >= 1 disabled behavior matchup,Battle Lab must exercise simple spell behavior before behavior-driven tuning.
source_identity_weapon_cap,PASS,54.27% max (defensive_occultist),<= 75% from level 7+ outside starter,Non-starter archetypes should not read as ritual-instrument-only combat once spells enter the kit.
source_identity_mental,PASS,41.57% (spell+pet),>= 22%,"Mental Controller should visibly pressure through spells and occult familiars, not only weapon cadence."
source_identity_elemental,PASS,51.52% (spell+dot+pet),>= 28%,"Elemental Mixer should show elemental spell, dot or familiar pressure in the damage mix."
source_identity_familiar,PASS,17.27% (pet),>= 10%,Familiar Handler should have a measurable familiar contribution after pets unlock.
source_identity_summoner,PASS,37.63% (summon),>= 10%,Summoner should produce real summon damage after superior physical rites unlock.
source_identity_dot,PASS,28.14% (dot),>= 12%,"Dot Pressure should be readable through bleed, poison, burn or death ticks."
source_identity_funeral,PASS,45.94% (spell+dot+summon),>= 30%,Funeral Burst should lean on death/fire rites once advanced physical magic unlocks.
arena_sequence_coverage,PASS,"27 sequences, max 6 duels",tutorial plus 3/4/5/6-duel arenas,"Arena PVE tuning needs sequence-level output, not only single-duel PVP matchups."
arena_sequence_clear_rate_floor,PASS,"1d 97%, 3d 86.99%, 3d 80.67%, 3d 68.19%, 3d 56.61%, 3d 45.38%, 3d 39.96%, 3d 36.41%, 3d 37.23%, 3d 36.51%, 4d 62.04%, 4d 52.59%, 4d 41.27%, 4d 33.91%, 4d 27.94%, 4d 23.61%, 4d 21.05%, 5d 40.93%, 5d 30.7%, 5d 25.66%, 5d 19.8%, 5d 15.24%, 6d 25.26%, 6d 21.7%, 6d 17.86%, 6d 14.73%, 6d 12.58%","1d >=80%, 3d >=35%, 3d >=35%, 3d >=35%, 3d >=35%, 3d >=35%, 3d >=35%, 3d >=35%, 3d >=35%, 3d >=35%, 4d >=20%, 4d >=20%, 4d >=20%, 4d >=20%, 4d >=20%, 4d >=20%, 4d >=20%, 5d >=12%, 5d >=12%, 5d >=12%, 5d >=12%, 5d >=12%, 6d >=12%, 6d >=12%, 6d >=12%, 6d >=12%, 6d >=12%","Track 19 sanity targets: tutorial >=80%, 3 duels >=35%, 4 duels >=20%, 5/6 duels >=12%."
arena_sequence_hp_reset,PASS,HP reset true,HP reset per duel,Arena PVE is about winning each duel; it must not become survival attrition.
